,filename,age,gender,race,predicted_age
0,100_1_0_20170119212053665.jpg,100,female,White,more than 70
1,10_0_0_20170116201102149.jpg,10,male,White,3-9
2,10_0_0_20170120220628194.jpg,10,male,White,10-19
3,10_0_1_20170116225209209.jpg,10,male,Black,10-19
4,10_1_1_20170116225209209.jpg,10,female,Black,30-39
5,10_1_3_20170119150820222.jpg,10,female,Indian,3-9
6,110_1_0_20170120134701015.jpg,110,female,White,60-69
7,111_1_0_20170120134646399.jpg,111,female,White,more than 70
8,115_1_0_20170120134725990.jpg,115,female,White,more than 70
9,115_1_0_20170120134725991.jpg,115,female,White,more than 70
10,116_1_0_20170120134921760.jpg,116,female,White,more than 70
11,116_1_3_20170120134744096.jpg,116,female,Indian,more than 70
12,11_1_0_20170117133441179.jpg,11,female,White,10-19
13,13_0_3_20170119153840721.jpg,13,male,Indian,3-9
14,13_1_0_20170120133325603.jpg,13,female,White,3-9
15,14_0_0_20170116204045849.jpg,14,male,White,3-9
16,14_0_0_20170116211955846.jpg,14,male,White,20-29
17,14_0_0_20170120133332421.jpg,14,male,White,10-19
18,14_0_1_20170116205011065.jpg,14,male,Black,10-19
19,14_1_0_20170119150832998.jpg,14,female,White,20-29
20,15_0_0_20170116201123807.jpg,15,male,White,20-29
21,15_0_0_20170120133307597.jpg,15,male,White,3-9
22,15_0_1_20170120134502877.jpg,15,male,Black,30-39
23,15_0_2_20170114024948220.jpg,15,male,Asian,10-19
24,15_1_0_20170116232438243.jpg,15,female,White,3-9
25,15_1_1_20170116000638538.jpg,15,female,Black,20-29
26,15_1_1_20170116164052068.jpg,15,female,Black,20-29
27,15_1_3_20170119164417238.jpg,15,female,Indian,20-29
28,16_0_0_20170120133327900.jpg,16,male,White,20-29
29,16_0_1_20170116161243731.jpg,16,male,Black,30-39
30,16_0_1_20170116214205175.jpg,16,male,Black,10-19
31,16_0_1_20170120134502877.jpg,16,male,Black,20-29
32,16_1_0_20170116204045849.jpg,16,female,White,10-19
33,16_1_0_20170116214318225.jpg,16,female,White,20-29
